company_short,company,ticker,cik,accession,filing_date,period_end,fiscal_year,ai_centrality,ai_stack_role,ai_infra_subsplit,sic,sic_description,revenue_usd,revenue_tag,assets_usd,n_ai_sentences,n_other_sentences,ai_tone,other_tone,within_doc_distance,tone_flag,item1a_words,n_subsections,n_ai_subsections,ai_subsection_words,ai_word_share_subsection,ai_sentence_words,ai_word_share_sentences,ai_pos_first,ai_pos_first_norm,ai_pos_mean_norm,ai_pos_spread_norm,ai_content_concentrated,position_flag,ai_match_terms,ai_match_automat_only,specificity_numeric_per_100w,item1a_specificity_numeric_per_100w,yoy_tfidf_cosine,yoy_shingle_jaccard,yoy_prior_year,heading_method,n_headings_found,item1a_words_raw,page_noise_words_removed,url
Apple,Apple Inc.,AAPL,320193,0000320193-19-000119,2019-10-31,2019-09-28,2019,,AI Infrastructure,,3571,Electronic Computers,260174000000,RevenueFromContractWithCustomerExcludingAssessedTax,338516000000,0,285,,-0.2999,,LOW_SENTENCE_COUNT,9009,48,0,0,0.0,0,0.0,,,,,,,,,,1.898,,,,html_emphasis,48,9022,13,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm
Apple,Apple Inc.,AAPL,320193,0000320193-20-000096,2020-10-30,2020-09-26,2020,,AI Infrastructure,,3571,Electronic Computers,274515000000,RevenueFromContractWithCustomerExcludingAssessedTax,323888000000,0,308,,-0.3078,,LOW_SENTENCE_COUNT,9870,46,0,0,0.0,0,0.0,,,,,,,,,,2.128,,,,html_emphasis,46,9874,4,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm
Apple,Apple Inc.,AAPL,320193,0000320193-21-000105,2021-10-29,2021-09-25,2021,,AI Infrastructure,,3571,Electronic Computers,365817000000,RevenueFromContractWithCustomerExcludingAssessedTax,351002000000,0,325,,-0.3146,,LOW_SENTENCE_COUNT,10734,47,0,0,0.0,0,0.0,,,,,,,,,,1.379,,,,html_emphasis,47,10738,4,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm
Apple,Apple Inc.,AAPL,320193,0000320193-22-000108,2022-10-28,2022-09-24,2022,,AI Infrastructure,,3571,Electronic Computers,394328000000,RevenueFromContractWithCustomerExcludingAssessedTax,352755000000,0,337,,-0.318,,LOW_SENTENCE_COUNT,11199,46,0,0,0.0,0,0.0,,,,,,,,,,1.188,,,,html_emphasis,46,11203,4,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm
Apple,Apple Inc.,AAPL,320193,0000320193-23-000106,2023-11-03,2023-09-30,2023,,AI Infrastructure,,3571,Electronic Computers,383285000000,RevenueFromContractWithCustomerExcludingAssessedTax,352583000000,0,329,,-0.3008,,LOW_SENTENCE_COUNT,11006,47,1,452,0.04107,0,0.0,24,0.5106,0.5106,0.0,yes,,artificial intelligence|machine learning,,0.0,1.345,,,,html_emphasis,47,11010,4,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm
Apple,Apple Inc.,AAPL,320193,0000320193-24-000123,2024-11-01,2024-09-28,2024,,AI Infrastructure,,3571,Electronic Computers,391035000000,RevenueFromContractWithCustomerExcludingAssessedTax,364980000000,2,337,-0.3053,-0.2947,-0.0106,LOW_SENTENCE_COUNT,11616,47,2,781,0.06723,84,0.00723,8,0.1702,0.3191,0.2979,no,,artificial intelligence|machine learning,,0.384,1.179,0.9534,0.5383,2023,html_emphasis,47,11620,4,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm
Apple,Apple Inc.,AAPL,320193,0000320193-25-000079,2025-10-31,2025-09-27,2025,,AI Infrastructure,,3571,Electronic Computers,416161000000,RevenueFromContractWithCustomerExcludingAssessedTax,359241000000,4,340,-0.2086,-0.3169,0.1083,LOW_SENTENCE_COUNT,11642,46,5,2070,0.1778,138,0.01185,8,0.1739,0.3652,0.3478,no,,artificial intelligence|machine learning,,0.29,1.46,0.9312,0.2903,2024,html_emphasis,46,11646,4,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Broadcom,Broadcom Inc.,AVGO,1730168,0001730168-18-000084,2018-12-21,2018-11-04,2018,,AI Infrastructure,Semiconductor/Hardware,3674,Semiconductors & Related Devices,20848000000,RevenueFromContractWithCustomerExcludingAssessedTax,50124000000,0,502,,-0.316,,LOW_SENTENCE_COUNT,17931,97,0,0,0.0,0,0.0,,,,,,,,,,1.679,,,,html_emphasis,97,18013,82,https://www.sec.gov/Archives/edgar/data/1730168/000173016818000084/avgo-11042018x10k.htm
Broadcom,Broadcom Inc.,AVGO,1730168,0001730168-19-000144,2019-12-20,2019-11-03,2019,,AI Infrastructure,Semiconductor/Hardware,3674,Semiconductors & Related Devices,22597000000,RevenueFromContractWithCustomerExcludingAssessedTax,67493000000,0,514,,-0.3108,,LOW_SENTENCE_COUNT,18303,100,0,0,0.0,0,0.0,,,,,,,,,,1.808,,,,html_emphasis,100,18391,88,https://www.sec.gov/Archives/edgar/data/1730168/000173016819000144/avgo-11032019x10k.htm
Broadcom,Broadcom Inc.,AVGO,1730168,0001730168-20-000226,2020-12-18,2020-11-01,2020,,AI Infrastructure,Semiconductor/Hardware,3674,Semiconductors & Related Devices,23888000000,RevenueFromContractWithCustomerExcludingAssessedTax,75933000000,1,497,-0.8484,-0.3876,-0.4608,LOW_SENTENCE_COUNT,16586,106,1,301,0.01815,35,0.00211,72,0.6792,0.6792,0.0,yes,,artificial intelligence,,0.0,1.531,,,,html_emphasis,106,16664,78,https://www.sec.gov/Archives/edgar/data/1730168/000173016820000226/avgo-20201101.htm
